排名,ID,案例,最终得分
1,40294,从激发到引领，adidas借文化圈层突破，成就品牌超级符号 ！,4.1
2,40997,用AI书画热爱，英特尔携手咪咕用中式浪漫为奥运喝彩,4.1
3,41722,拥抱不同，让我们赢在一起,4.0
4,40728,伊利液奶联袂贺岁，祥麟演绎"伊"笑过春节,4.0
5,40062,快手家乡货，让内容有热度，好货有销路,4.0
6,39044,薯片还是鲜的香：《种地吧3》拉通乐事春日限定体验,4.0
7,41737,快手《用手说话的带货主播》,3.9
8,41463,铲铲出鸡（Spatula Up）,3.9
9,41437,30年国民品牌立白：以“穿”香风潮勇闯洗衣液高端局,3.9
10,40738,流浪动物公益麻将：摸到小幸胡，让爱不流浪,3.9
11,40291,挖出【阳台栖“溪”地】新大陆第一人！小红书引爆海尔云溪逆袭双冠王！,3.9
12,41613,618突破生态边界，老板电器全链意图激发,3.9
13,41825,厚待⾃⼰的堡,3.8
14,41710,找准细分人群，双爆品霸榜亚马逊，营收胜百品之和 ——Anker“电脑充电”新品类,3.8
15,41600,集喜欢的卡 过开心的年 — 肯德基&支付宝五福IP营销,3.8
16,39242,向往的冬天在吉林,3.8
17,41739,快手《用手说话的带货主播》,3.7
18,41646,CNY百事X高德自驾返乡首创全链路体验,3.7
19,41041,长隆全新熊猫IP：大熊猫妹猪！驾到！,3.7
20,40736,爷爷的农场×热剧彩蛋创意联动，“爷爷”同名梗建立强认知,3.7
21,40337,“3岁百亿男主”哪吒，让蒙牛赢麻了,3.7
22,39774,小米打造抖音高管矩阵，以优质内容强势驱动业务,3.7
23,39523,伊利迪士尼冰雪奇缘新品营销,3.7
24,38955,金典x新世相|挺牛的朋友,3.7
25,41859,乐事春收马铃薯！24小时锁鲜+全程溯源，开启零食品质新时代,3.6
26,40349,美图&百多邦，「证件照」AI打造可怕的精准,3.6
27,40119,沙宣在手・红运当头：春节营销破局品效双赢,3.6
28,39785,“盲盒养娃” 新范式：美素佳儿借泡泡玛特 IP 驱动母婴营销破圈,3.6
29,39622,曼秀雷敦135周年 每个人都是曼秀雷敦小护士 延续处处关怀,3.6
30,39317,麦当劳持续构建【有趣】营销场域，链接年轻群体,3.6
31,39205,阿里妈妈全域营销高质拉新助力凯乐石业绩高速增长,3.6
32,39016,京东 X《跟着唐诡去西行》：以“短”借“长”，解码内容新营销,3.6
33,41353,Y25 CNY《肯德基乒乒乓乓大金桶》,3.6
34,41141,好看·好玩·好吃 奥利奥宇宙限定开启GENZ玩心浪漫,3.6
35,41885,极致创新引爆品类革命 中国品牌首创消费级UV打印新物种，重新定义个人创造 --e,3.5
36,41667,《百事可乐 x 萝卜快跑无人车AI出行创意营销》,3.5
37,41546,视角深入 认知渗透-蔡司口碑传播营销,3.5
38,41452,寻影记（Found in the shadows）,3.5
